name,phone,email,term_length,lbgtq_friendly,political_affiliation,eco_conciousness,cleanliness
Quintilla Bambrough,102-744-9333,qbambrough0@sbwire.com,11,false,6,1,9
Bobette Cicetti,992-356-5553,bcicetti1@smugmug.com,1,true,6,8,9
Krissie Patillo,870-896-3258,kpatillo2@samsung.com,22,false,4,6,7
Gillan Lacer,669-530-8650,glacer3@live.com,11,true,9,8,10
Margot Liddall,182-100-3837,mliddall4@paginegialle.it,1,true,6,3,7
Ruthy Tibbetts,595-239-2870,rtibbetts5@t-online.de,6,false,9,6,7
Laural MacCallam,284-266-8411,lmaccallam6@google.ca,12,false,1,9,8
Warde Blowne,832-184-8043,wblowne7@angelfire.com,7,true,1,8,9
Hymie Skoggings,362-281-6962,hskoggings8@phpbb.com,20,true,5,8,6
Lucia Beharrell,269-975-9484,lbeharrell9@digg.com,15,true,9,1,2
Rutter Tuffs,635-297-3142,rtuffsa@taobao.com,14,false,10,2,8
Trumann Izkoveski,388-550-2627,tizkoveskib@wikipedia.org,16,true,2,10,10
Derrik Rhoades,232-805-6416,drhoadesc@epa.gov,17,true,7,9,2
Hallsy Scoffham,609-380-1062,hscoffhamd@wikia.com,23,true,8,7,1
Humfrid Strafen,744-936-7171,hstrafene@networksolutions.com,18,false,3,4,3
Veronika Buckerfield,239-810-9771,vbuckerfieldf@ycombinator.com,18,false,7,1,5
Domingo Zupo,482-998-5151,dzupog@bing.com,22,true,6,3,10
Mab Confort,200-244-4732,mconforth@java.com,14,false,6,7,9
Rianon Lorne,949-498-8933,rlornei@creativecommons.org,11,false,2,6,1
Frankie Enders,437-572-5148,fendersj@usatoday.com,15,true,2,4,1
